question,ground_truth
Việc đăng ký kết hôn được tiến hành như thế nào?,"Căn cứ tại Điều 9 Luật Hôn nhân và gia đình 2014 về đăng ký kết hôn như sau:

Đăng ký kết hôn

1. Việc kết hôn phải được đăng ký và do cơ quan nhà nước có thẩm quyền thực hiện theo quy định của Luật này và pháp luật về hộ tịch.

Việc kết hôn không được đăng ký theo quy định tại khoản này thì không có giá trị pháp lý.

2. Vợ chồng đã ly hôn muốn xác lập lại quan hệ vợ chồng thì phải đăng ký kết hôn.

Theo quy định tại Điều 17 Luật Hộ tịch 2014 về thẩm quyền đăng ký kết hôn và nội dung Giấy chứng nhận kết hôn như sau:

Thẩm quyền đăng ký kết hôn và nội dung Giấy chứng nhận kết hôn

1. Ủy ban nhân dân cấp xã nơi cư trú của một trong hai bên nam, nữ thực hiện đăng ký kết hôn.

2. Giấy chứng nhận kết hôn phải có các thông tin sau đây:

a) Họ, chữ đệm và tên; ngày, tháng, năm sinh; dân tộc; quốc tịch; nơi cư trú; thông tin về giấy tờ chứng minh nhân thân của hai bên nam, nữ;

b) Ngày, tháng, năm đăng ký kết hôn;

c) Chữ ký hoặc điểm chỉ của hai bên nam, nữ và xác nhận của cơ quan đăng ký hộ tịch.

Căn cứ Điều 37 Luật Hộ tịch 2014 về thẩm quyền đăng ký kết hôn đối với Ủy ban nhân dân cấp huyện

Thẩm quyền đăng ký kết hôn

1. Ủy ban nhân dân cấp huyện nơi cư trú của công dân Việt Nam thực hiện đăng ký kết hôn giữa công dân Việt Nam với người nước ngoài; giữa công dân Việt Nam cư trú ở trong nước với công dân Việt Nam định cư ở nước ngoài; giữa công dân Việt Nam định cư ở nước ngoài với nhau; giữa công dân Việt Nam đồng thời có quốc tịch nước ngoài với công dân Việt Nam hoặc với người nước ngoài.

2. Trường hợp người nước ngoài cư trú tại Việt Nam có yêu cầu đăng ký kết hôn tại Việt Nam thì Ủy ban nhân dân cấp huyện nơi cư trú của một trong hai bên thực hiện đăng ký kết hôn; giữa công dân Việt Nam cư trú ở trong nước với công dân Việt Nam định cư ở nước ngoài; giữa công dân Việt Nam định cư ở nước ngoài với nhau; giữa công dân Việt Nam đồng thời có quốc tịch nước ngoài với công dân Việt Nam hoặc với người nước ngoài.

Do đó, khi đăng ký kết hôn, Ủy ban nhân dân cấp xã là cơ quan nhà nước có thẩm quyền cấp Giấy chứng nhận kết hôn đối với kết hôn giữa công dân Việt Nam với nhau.

Trường hợp đăng ký kế hôn giữa công dân Việt Nam với người nước ngoài; giữa công dân Việt Nam cư trú ở trong nước với công dân Việt Nam định cư ở nước ngoài; giữa công dân Việt Nam định cư ở nước ngoài với nhau; giữa công dân Việt Nam đồng thời có quốc tịch nước ngoài với công dân Việt Nam hoặc với người nước ngoài thì Ủy ban nhân dân cấp huyện là cơ quan có thẩm quyền đăng ký kết hôn."
"Người có khó khăn trong nhận thức, làm chủ hành vi thì có được phép kết hôn hay không?","Tại Điều 22 Bộ luật Dân sự 2015 có quy định về người mất năng lực hành vi dân sự như sau:

Mất năng lực hành vi dân sự

1. Khi một người do bị bệnh tâm thần hoặc mắc bệnh khác mà không thể nhận thức, làm chủ được hành vi thì theo yêu cầu của người có quyền, lợi ích liên quan hoặc của cơ quan, tổ chức hữu quan, Tòa án ra quyết định tuyên bố người này là người mất năng lực hành vi dân sự trên cơ sở kết luận giám định pháp y tâm thần.

Khi không còn căn cứ tuyên bố một người mất năng lực hành vi dân sự thì theo yêu cầu của chính người đó hoặc của người có quyền, lợi ích liên quan hoặc của cơ quan, tổ chức hữu quan, Tòa án ra quyết định hủy bỏ quyết định tuyên bố mất năng lực hành vi dân sự.

....

Xét về người có khó khăn trong nhận thức, làm chủ hành vi thì theo quy định khoản 1 Điều 23 Bộ luật Dân sự 2015 có sự phân biệt giữa người mất năng lực hành vi dân sự với người có khó khăn trong nhận thức, làm chủ hành vi.

Người có khó khăn trong nhận thức, làm chủ hành vi

1. Người thành niên do tình trạng thể chất hoặc tinh thần mà không đủ khả năng nhận thức, làm chủ hành vi nhưng chưa đến mức mất năng lực hành vi dân sự thì theo yêu cầu của người này, người có quyền, lợi ích liên quan hoặc của cơ quan, tổ chức hữu quan, trên cơ sở kết luận giám định pháp y tâm thần, Tòa án ra quyết định tuyên bố người này là người có khó khăn trong nhận thức, làm chủ hành vi và chỉ định người giám hộ, xác định quyền, nghĩa vụ của người giám hộ

.....

Vậy, một người được xem là mất hành vi dân sự khi người đó vì bệnh tâm thần hoặc mắc bệnh khác mà không thể nhận thức, làm chủ hành vi thì thì Tòa án ra quyết định tuyên bố người này mất năng lực hành vi dân sự trên kết luận giám định pháp y tâm thần theo yêu cầu của người có quyền, hoặc cơ quan, tổ chức có liên quan.

Chính vì thế, người có khó khăn trong nhận thức, làm chủ hành vi nếu đáp ứng đầy đủ các điều kiện kết hôn theo Điều 8 Luật Hôn nhân và gia đình 2014 và không nằm trong trường hợp bị cấm kết hôn thì vẫn được kết hôn như bình thường.

Trân trọng!"
Con riêng của chồng có được kết hôn với con riêng của vợ hay không?,"Tại khoản 2 Điều 5 Luật Hôn nhân và gia đình 2014 có quy định về bảo vệ chế độ hôn nhân và gia đình như sau:

Bảo vệ chế độ hôn nhân và gia đình

...

1. Quan hệ hôn nhân và gia đình được xác lập, thực hiện theo quy định của Luật này được tôn trọng và được pháp luật bảo vệ.

2. Cấm các hành vi sau đây:

a) Kết hôn giả tạo, ly hôn giả tạo;

b) Tảo hôn, cưỡng ép kết hôn, lừa dối kết hôn, cản trở kết hôn;

c) Người đang có vợ, có chồng mà kết hôn hoặc chung sống như vợ chồng với người khác hoặc chưa có vợ, chưa có chồng mà kết hôn hoặc chung sống như vợ chồng với người đang có chồng, có vợ;

d) Kết hôn hoặc chung sống như vợ chồng giữa những người cùng dòng máu về trực hệ; giữa những người có họ trong phạm vi ba đời; giữa cha, mẹ nuôi với con nuôi; giữa người đã từng là cha, mẹ nuôi với con nuôi, cha chồng với con dâu, mẹ vợ với con rể, cha dượng với con riêng của vợ, mẹ kế với con riêng của chồng;

đ) Yêu sách của cải trong kết hôn;

e) Cưỡng ép ly hôn, lừa dối ly hôn, cản trở ly hôn;

g) Thực hiện sinh con bằng kỹ thuật hỗ trợ sinh sản vì mục đích thương mại, mang thai hộ vì mục đích thương mại, lựa chọn giới tính thai nhi, sinh sản vô tính;

h) Bạo lực gia đình;

i) Lợi dụng việc thực hiện quyền về hôn nhân và gia đình để mua bán người, bóc lột sức lao động, xâm phạm tình dục hoặc có hành vi khác nhằm mục đích trục lợi.

...

Như vậy, trường hợp con riêng của chồng kết hôn với con riêng của vợ không nằm trong các hành vi bị nghiêm cấm. Cho nên, con riêng của chồng được kết hôn với con riêng của vợ nếu đáp ứng các điều kiện kết hôn."
Điều kiện kết hôn đối với con riêng của chồng kết hôn với con riêng của vợ là gì?,"Tại Điều 8 Luật Hôn nhân và gia đình 2014 có quy định về điều kiện kết hôn như sau:

Điều kiện kết hôn

1. Nam, nữ kết hôn với nhau phải tuân theo các điều kiện sau đây:

a) Nam từ đủ 20 tuổi trở lên, nữ từ đủ 18 tuổi trở lên;

b) Việc kết hôn do nam và nữ tự nguyện quyết định;

c) Không bị mất năng lực hành vi dân sự;

d) Việc kết hôn không thuộc một trong các trường hợp cấm kết hôn theo quy định tại các điểm a, b, c và d khoản 2 Điều 5 của Luật này.

2. Nhà nước không thừa nhận hôn nhân giữa những người cùng giới tính.

Như vậy, điều kiện kết hôn đối với con riêng của chồng kết hôn với con riêng của vợ bao gồm:

- Nam từ đủ 20 tuổi trở lên, nữ từ đủ 18 tuổi trở lên;

- Việc kết hôn do nam và nữ tự nguyện quyết định;

- Không bị mất năng lực hành vi dân sự;

- Việc kết hôn không thuộc một trong các trường hợp cấm kết hôn."
Con riêng của chồng có được mang thai hộ cho con riêng của vợ hay không?,"Tại Điều 95 Luật Hôn nhân và gia đình 2014 có quy định về điều kiện mang thai hộ vì mục đích nhân đạo như sau:

Điều kiện mang thai hộ vì mục đích nhân đạo

1. Việc mang thai hộ vì mục đích nhân đạo phải được thực hiện trên cơ sở tự nguyện của các bên và được lập thành văn bản.

2. Vợ chồng có quyền nhờ người mang thai hộ khi có đủ các điều kiện sau đây:

a) Có xác nhận của tổ chức y tế có thẩm quyền về việc người vợ không thể mang thai và sinh con ngay cả khi áp dụng kỹ thuật hỗ trợ sinh sản;

b) Vợ chồng đang không có con chung;

c) Đã được tư vấn về y tế, pháp lý, tâm lý.

3. Người được nhờ mang thai hộ phải có đủ các điều kiện sau đây:

a) Là người thân thích cùng hàng của bên vợ hoặc bên chồng nhờ mang thai hộ;

b) Đã từng sinh con và chỉ được mang thai hộ một lần;

c) Ở độ tuổi phù hợp và có xác nhận của tổ chức y tế có thẩm quyền về khả năng mang thai hộ;

d) Trường hợp người phụ nữ mang thai hộ có chồng thì phải có sự đồng ý bằng văn bản của người chồng;

đ) Đã được tư vấn về y tế, pháp lý, tâm lý.

4. Việc mang thai hộ vì mục đích nhân đạo không được trái với quy định của pháp luật về sinh con bằng kỹ thuật hỗ trợ sinh sản.

5. Chính phủ quy định chi tiết Điều này.

Như vậy, người được nhờ mang thai hộ phải là người thân thích cùng hàng của bên vợ hoặc bên chồng nhờ mang thai hộ. Cho nên, con riêng của chồng không thể mang thai hộ cho con riêng của vợ được.

Trân trọng!"
Thách cưới có phải là yêu sách của cải trong kết hôn?,"Tại khoản 12 Điều 3 Luật Hôn nhân và gia đình 2014 quy định:

Giải thích từ ngữ

…

12. Yêu sách của cải trong kết hôn là việc đòi hỏi về vật chất một cách quá đáng và coi đó là điều kiện để kết hôn nhằm cản trở việc kết hôn tự nguyện của nam, nữ.

Như vậy , thách cưới còn có thể được xem là yêu sách của cải trong kết hôn nếu việc thách cưới đòi hỏi về vật chất một cách quá đáng và coi đó là điều kiện để kết hôn nhằm cản trở việc kết hôn tự nguyện."
Muốn kết hôn cần đáp ứng những điều kiện nào?,"Tại Điều 8 Luật Hôn nhân và gia đình 2014 có quy định điều kiện kết hôn như sau:

- Nam, nữ kết hôn với nhau phải tuân theo các điều kiện sau đây:

+ Nam từ đủ 20 tuổi trở lên, nữ từ đủ 18 tuổi trở lên;

+ Việc kết hôn do nam và nữ tự nguyện quyết định;

+ Không bị mất năng lực hành vi dân sự;

+ Việc kết hôn không thuộc một trong các trường hợp cấm kết hôn theo quy định như:

++ Kết hôn giả tạo, ly hôn giả tạo;

++ Tảo hôn, cưỡng ép kết hôn, lừa dối kết hôn, cản trở kết hôn;

++ Người đang có vợ, có chồng mà kết hôn hoặc chung sống như vợ chồng với người khác hoặc chưa có vợ, chưa có chồng mà kết hôn hoặc chung sống như vợ chồng với người đang có chồng, có vợ;

++ Kết hôn hoặc chung sống như vợ chồng giữa những người cùng dòng máu về trực hệ; giữa những người có họ trong phạm vi ba đời; giữa cha, mẹ nuôi với con nuôi; giữa người đã từng là cha, mẹ nuôi với con nuôi, cha chồng với con dâu, mẹ vợ với con rể, cha dượng với con riêng của vợ, mẹ kế với con riêng của chồng."
Người có hành vi thách cưới bị xử lý như thế nào?,"Tại điểm đ khoản 1 Điều 59 Nghị đinh 82/2020/NĐ-CP quy định người có hành vi vi phạm quy định về kết hôn sẽ bị xử lý như sau:

Hành vi vi phạm quy định về kết hôn, ly hôn và vi phạm chế độ hôn nhân một vợ, một chồng

1. Phạt tiền từ 3.000.000 đồng đến 5.000.000 đồng đối với một trong các hành vi sau:

a) Đang có vợ hoặc đang có chồng mà kết hôn với người khác, chưa có vợ hoặc chưa có chồng mà kết hôn với người mà mình biết rõ là đang có chồng hoặc đang có vợ;

b) Đang có vợ hoặc đang có chồng mà chung sống như vợ chồng với người khác;

c) Chưa có vợ hoặc chưa có chồng mà chung sống như vợ chồng với người mà mình biết rõ là đang có chồng hoặc đang có vợ;

d) Kết hôn hoặc chung sống như vợ chồng giữa người đã từng là cha, mẹ nuôi với con nuôi, cha chồng với con dâu, mẹ vợ với con rể, cha dượng với con riêng của vợ, mẹ kế với con riêng của chồng;

đ) Cản trở kết hôn, yêu sách của cải trong kết hôn hoặc cản trở ly hôn.

...

3. Biện pháp khắc phục hậu quả:

Buộc nộp lại số lợi bất hợp pháp có được do thực hiện hành vi vi phạm quy định tại các điểm d và đ khoản 2 Điều này.

Như vậy, cá nhân nếu có hành vi vi phạm sẽ bị phạt tiền từ 10.000.000 đồng đến 20.000.000 đồng. Trường hợp tổ chức có hành vi vi phạm hành chính như của cá nhân thì mức phạt tiền bằng 02 lần mức phạt tiền đối với cá nhân (khoản 4 Điều 4 Nghị định 82/2020/NĐ-CP ).

Trân trọng!"
Em trai chồng kết hôn với em gái vợ có vi phạm việc kết hôn trong phạm vi ba đời không?,"Theo quy định tại khoản 2 Điều 5 Luật Hôn nhân và gia đình 2014 quy định về các hành vi bị cấm trong hôn nhân như sau:

a) Kết hôn giả tạo, ly hôn giả tạo;

b) Tảo hôn, cưỡng ép kết hôn, lừa dối kết hôn, cản trở kết hôn;

c) Người đang có vợ, có chồng mà kết hôn hoặc chung sống như vợ chồng với người khác hoặc chưa có vợ, chưa có chồng mà kết hôn hoặc chung sống như vợ chồng với người đang có chồng, có vợ;

d) Kết hôn hoặc chung sống như vợ chồng giữa những người cùng dòng máu về trực hệ; giữa những người có họ trong phạm vi ba đời ; giữa cha, mẹ nuôi với con nuôi; giữa người đã từng là cha, mẹ nuôi với con nuôi, cha chồng với con dâu, mẹ vợ với con rể, cha dượng với con riêng của vợ, mẹ kế với con riêng của chồng;

đ) Yêu sách của cải trong kết hôn;

e) Cưỡng ép ly hôn, lừa dối ly hôn, cản trở ly hôn;

g) Thực hiện sinh con bằng kỹ thuật hỗ trợ sinh sản vì mục đích thương mại, mang thai hộ vì mục đích thương mại, lựa chọn giới tính thai nhi, sinh sản vô tính;

h) Bạo lực gia đình;

i) Lợi dụng việc thực hiện quyền về hôn nhân và gia đình để mua bán người, bóc lột sức lao động, xâm phạm tình dục hoặc có hành vi khác nhằm mục đích trục lợi.

Ngoài ra, theo khoản 18 Điều 3 Luật Hôn nhân và gia đình 2014 giải thích về “những người có họ trong phạm vi ba đời” như sau:

Những người có họ trong phạm vi ba đời là những người cùng một gốc sinh ra gồm cha mẹ là đời thứ nhất; anh, chị, em cùng cha mẹ, cùng cha khác mẹ, cùng mẹ khác cha là đời thứ hai; anh, chị, em con chú, con bác, con cô, con cậu, con dì là đời thứ ba.

Theo đó, em trai của người chồng và em gái của người vợ không thuộc những người có họ trong phạm vi ba đời. Vậy việc em trai bạn kết hôn với em gái của vợ bạn không rơi vào hành vi bị cấm trong hôn nhân. Do đó, em trai của chồng hoàn toàn có thể kết hôn với em gái của người vợ."
Điều kiện để em trai chồng kết hôn với em gái vợ là gì?,"Theo quy định tại Điều 8 Luật Hôn nhân và gia đình 2014 quy định về điều kiện kết hôn như sau:

1. Nam, nữ kết hôn với nhau phải tuân theo các điều kiện sau đây:

a) Nam từ đủ 20 tuổi trở lên, nữ từ đủ 18 tuổi trở lên;

b) Việc kết hôn do nam và nữ tự nguyện quyết định;

c) Không bị mất năng lực hành vi dân sự;

d) Việc kết hôn không thuộc một trong các trường hợp cấm kết hôn theo quy định tại các điểm a, b, c và d khoản 2 Điều 5 của Luật này.

2. Nhà nước không thừa nhận hôn nhân giữa những người cùng giới tính.

Do em trai người chồng và em gái người vợ không thuộc hành vi bị cấm hay trường hợp đặc biệt trong kết hôn nên điều kiện để kết hôn được áp dụng như quy định về điều kiện kết hôn thông thường nêu trên."
Ai là người có quyền yêu cầu hủy việc kết hôn trái pháp luật?,"Căn cứ quy định tại Điều 10 Luật Hôn nhân và gia đình 2014 quy định về người có quyền yêu cầu hủy việc kết hôn trái pháp luật như sau:

1. Người bị cưỡng ép kết hôn, bị lừa dối kết hôn, theo quy định của pháp luật về tố tụng dân sự, có quyền tự mình yêu cầu hoặc đề nghị cá nhân, tổ chức quy định tại khoản 2 Điều này yêu cầu Tòa án hủy việc kết hôn trái pháp luật do việc kết hôn vi phạm quy định tại điểm b khoản 1 Điều 8 của Luật này.

2. Cá nhân, cơ quan, tổ chức sau đây, theo quy định của pháp luật về tố tụng dân sự, có quyền yêu cầu Tòa án hủy việc kết hôn trái pháp luật do việc kết hôn vi phạm quy định tại các điểm a, c và d khoản 1 Điều 8 của Luật này:

a) Vợ, chồng của người đang có vợ, có chồng mà kết hôn với người khác; cha, mẹ, con, người giám hộ hoặc người đại diện theo pháp luật khác của người kết hôn trái pháp luật;

b) Cơ quan quản lý nhà nước về gia đình;

c) Cơ quan quản lý nhà nước về trẻ em;

d) Hội liên hiệp phụ nữ.

3. Cá nhân, cơ quan, tổ chức khác khi phát hiện việc kết hôn trái pháp luật thì có quyền đề nghị cơ quan, tổ chức quy định tại các điểm b, c và d khoản 2 Điều này yêu cầu Tòa án hủy việc kết hôn trái pháp luật.

Trên đây là quy định về có người có quyền yêu cầu hủy việc kết hôn trái pháp luật. Vậy khi gặp trường hợp kết hôn trái luật, bạn có thể đề nghị cơ quan có thẩm quyền yêu cầu Tòa hủy việc kết hôn trái pháp luật và các hành động khác theo quy định nêu trên.

Trân trọng!"
Con ruột và con riêng có được kết hôn hay không?,"Tại Điều 8 Luật Hôn nhân và gia đình 2014 có quy định về điều kiện kết hôn như sau:

Điều kiện kết hôn

1. Nam, nữ kết hôn với nhau phải tuân theo các điều kiện sau đây:

a) Nam từ đủ 20 tuổi trở lên, nữ từ đủ 18 tuổi trở lên;

b) Việc kết hôn do nam và nữ tự nguyện quyết định;

c) Không bị mất năng lực hành vi dân sự;

d) Việc kết hôn không thuộc một trong các trường hợp cấm kết hôn theo quy định tại các điểm a, b, c và d khoản 2 Điều 5 của Luật này.

2. Nhà nước không thừa nhận hôn nhân giữa những người cùng giới tính.

Tại khoản 2 Điều 5 Luật Hôn nhân và gia đình 2014 có quy định về các hành vi cấm như sau:

2. Cấm các hành vi sau đây:

a) Kết hôn giả tạo, ly hôn giả tạo;

b) Tảo hôn, cưỡng ép kết hôn, lừa dối kết hôn, cản trở kết hôn;

c) Người đang có vợ, có chồng mà kết hôn hoặc chung sống như vợ chồng với người khác hoặc chưa có vợ, chưa có chồng mà kết hôn hoặc chung sống như vợ chồng với người đang có chồng, có vợ;

d) Kết hôn hoặc chung sống như vợ chồng giữa những người cùng dòng máu về trực hệ; giữa những người có họ trong phạm vi ba đời; giữa cha, mẹ nuôi với con nuôi; giữa người đã từng là cha, mẹ nuôi với con nuôi, cha chồng với con dâu, mẹ vợ với con rể, cha dượng với con riêng của vợ, mẹ kế với con riêng của chồng;

đ) Yêu sách của cải trong kết hôn;

e) Cưỡng ép ly hôn, lừa dối ly hôn, cản trở ly hôn;

g) Thực hiện sinh con bằng kỹ thuật hỗ trợ sinh sản vì mục đích thương mại, mang thai hộ vì mục đích thương mại, lựa chọn giới tính thai nhi, sinh sản vô tính;

h) Bạo lực gia đình;

i) Lợi dụng việc thực hiện quyền về hôn nhân và gia đình để mua bán người, bóc lột sức lao động, xâm phạm tình dục hoặc có hành vi khác nhằm mục đích trục lợi.

Căn cứ theo quy định hiện hành, pháp luật không cấm việc kết hôn giữa con ruột và con riêng. Chính vì vậy, hai bạn vẫn có thể kết hôn."
"Sau khi kết hôn, có bắt buộc vợ chồng phải sống chung với nhau?","Tại Điều 19 Luật Hôn nhân và gia đình 2014 có quy định về vấn đề tình nghĩa vợ chồng như sau:

Tình nghĩa vợ chồng

1. Vợ chồng có nghĩa vụ thương yêu, chung thủy, tôn trọng, quan tâm, chăm sóc, giúp đỡ nhau; cùng nhau chia sẻ, thực hiện các công việc trong gia đình.

2. Vợ chồng có nghĩa vụ sống chung với nhau, trừ trường hợp vợ chồng có thỏa thuận khác hoặc do yêu cầu của nghề nghiệp, công tác, học tập, tham gia các hoạt động chính trị, kinh tế, văn hóa, xã hội và lý do chính đáng khác.

Vợ chồng phải có nghĩa vụ sống chung với nhau. Trong trường hợp có thỏa thuận hoặc có lý do thuộc trường hợp được nêu trên thì có thể không sống chung."
"Giải quyết hậu quả của việc nam, nữ chung sống với nhau như vợ chồng mà không đăng ký kết hôn như thế nào?","Tại Điều 14 Luật Hôn nhân và gia đình 2014 có quy định về giải quyết hậu quả của việc nam, nữ chung sống với nhau như vợ chồng mà không đăng ký kết hôn như sau:

Giải quyết hậu quả của việc nam, nữ chung sống với nhau như vợ chồng mà không đăng ký kết hôn

1. Nam, nữ có đủ điều kiện kết hôn theo quy định của Luật này chung sống với nhau như vợ chồng mà không đăng ký kết hôn thì không làm phát sinh quyền, nghĩa vụ giữa vợ và chồng. Quyền, nghĩa vụ đối với con, tài sản, nghĩa vụ và hợp đồng giữa các bên được giải quyết theo quy định tại Điều 15 và Điều 16 của Luật này.

2. Trong trường hợp nam, nữ chung sống với nhau như vợ chồng theo quy định tại khoản 1 Điều này nhưng sau đó thực hiện việc đăng ký kết hôn theo quy định của pháp luật thì quan hệ hôn nhân được xác lập từ thời điểm đăng ký kết hôn.

Việc giải quyết hậu quả của việc nam, nữ chung sống với nhau như vợ chồng mà không đăng ký kết hôn sẽ được thực hiện theo quy định trên.

Trân trọng!"
Người chồng biệt tích bao nhiêu năm thì người vợ có thể kết hôn với chồng mới?,"Tại Điều 65 Luật Hôn nhân và gia đình 2014 có quy định về thời điểm chấm dứt hôn nhân như sau:

Hôn nhân chấm dứt kể từ thời điểm vợ hoặc chồng chết.

Trong trường hợp Tòa án tuyên bố vợ hoặc chồng là đã chết thì thời điểm hôn nhân chấm dứt được xác định theo ngày chết được ghi trong bản án, quyết định của Tòa án.

Tại Điều 71 Bộ luật Dân sự 2015 có quy định về việc tuyên bố chết như sau:

1. Người có quyền, lợi ích liên quan có thể yêu cầu Tòa án ra quyết định tuyên bố một người là đã chết trong trường hợp sau đây:

a) Sau 03 năm, kể từ ngày quyết định tuyên bố mất tích của Tòa án có hiệu lực pháp luật mà vẫn không có tin tức xác thực là còn sống;

b) Biệt tích trong chiến tranh sau 05 năm, kể từ ngày chiến tranh kết thúc mà vẫn không có tin tức xác thực là còn sống;

c) Bị tai nạn hoặc thảm họa, thiên tai mà sau 02 năm, kể từ ngày tai nạn hoặc thảm hoạ, thiên tai đó chấm dứt vẫn không có tin tức xác thực là còn sống, trừ trường hợp pháp luật có quy định khác;

d) Biệt tích 05 năm liền trở lên và không có tin tức xác thực là còn sống; thời hạn này được tính theo quy định tại khoản 1 Điều 68 của Bộ luật này.

2. Căn cứ vào các trường hợp quy định tại khoản 1 Điều này, Tòa án xác định ngày chết của người bị tuyên bố là đã chết.

3. Quyết định của Tòa án tuyên bố một người là đã chết phải được gửi cho Ủy ban nhân dân cấp xã nơi cư trú của người bị tuyên bố là đã chết để ghi chú theo quy định của pháp luật về hộ tịch.

Căn cứ theo quy định hiện hành, tùy vào từng trường hợp cụ thể mà sau 02 năm, 03 năm hoặc 05 năm, bạn có thể yêu cầu tòa án sẽ tuyên bố chết đối với người chồng. Sau khi được tòa án tuyên bố chồng bạn đã chết, bạn có thể kết hôn với người chồng mới."
Người bị tòa án tuyên bố đã chết mà trở về thì quan hệ hôn nhân trước đó có còn được pháp luật thừa nhận?,"Tại Điều 67 Luật Hôn nhân và gia đình 2014 có quy định về quan hệ nhân thân, tài sản khi vợ, chồng bị tuyên bố là đã chết mà trở về như sau:

1. Khi Tòa án ra quyết định hủy bỏ tuyên bố một người là đã chết mà vợ hoặc chồng của người đó chưa kết hôn với người khác thì quan hệ hôn nhân được khôi phục kể từ thời điểm kết hôn. Trong trường hợp có quyết định cho ly hôn của Tòa án theo quy định tại khoản 2 Điều 56 của Luật này thì quyết định cho ly hôn vẫn có hiệu lực pháp luật. Trong trường hợp vợ, chồng của người đó đã kết hôn với người khác thì quan hệ hôn nhân được xác lập sau có hiệu lực pháp luật.

2. Quan hệ tài sản của người bị tuyên bố là đã chết trở về với người vợ hoặc chồng được giải quyết như sau:

a) Trong trường hợp hôn nhân được khôi phục thì quan hệ tài sản được khôi phục kể từ thời điểm quyết định của Tòa án hủy bỏ tuyên bố chồng, vợ là đã chết có hiệu lực. Tài sản do vợ, chồng có được kể từ thời điểm quyết định của Tòa án về việc tuyên bố chồng, vợ là đã chết có hiệu lực đến khi quyết định hủy bỏ tuyên bố chồng, vợ đã chết có hiệu lực là tài sản riêng của người đó;

b) Trong trường hợp hôn nhân không được khôi phục thì tài sản có được trước khi quyết định của Tòa án về việc tuyên bố vợ, chồng là đã chết có hiệu lực mà chưa chia được giải quyết như chia tài sản khi ly hôn.

Theo đó, trong trường hợp người bị tòa án tuyên bố đã chết mà trở về, nếu vợ hoặc chồng của người đó chưa kết hôn với người khác thì quan hệ hôn nhân được khôi phục kể từ thời điểm kết hôn. Trong trường hợp vợ/chồng của người đó đã kết hôn với người khác thì quan hệ hôn nhân sau có hiệu lực pháp luật."
Điều kiện kết hôn hiện nay tại Việt Nam được quy định như thế nào?,"Tại Điều 8 Luật Hôn nhân và gia đình 2014 có quy định về điều kiện kết hôn hiện nay tại Việt Nam như sau:

1. Nam, nữ kết hôn với nhau phải tuân theo các điều kiện sau đây:

a) Nam từ đủ 20 tuổi trở lên, nữ từ đủ 18 tuổi trở lên;

b) Việc kết hôn do nam và nữ tự nguyện quyết định;

c) Không bị mất năng lực hành vi dân sự;

d) Việc kết hôn không thuộc một trong các trường hợp cấm kết hôn theo quy định tại các điểm a, b, c và d khoản 2 Điều 5 của Luật này.

2. Nhà nước không thừa nhận hôn nhân giữa những người cùng giới tính.

Như vậy, tại Việt Nam, việc nam,nữ có mong muốn kết hôn với nhau cần đáp ứng điều kiện trên.

Trân trọng!"
Có được kết hôn khi là người đang chấp hành án treo hay không?,"Tại Điều 8 Luật Hôn nhân và gia đình 2014 có quy định về điều kiện để được kết hôn như sau:

1. Nam, nữ kết hôn với nhau phải tuân theo các điều kiện sau đây:

a) Nam từ đủ 20 tuổi trở lên, nữ từ đủ 18 tuổi trở lên;

b) Việc kết hôn do nam và nữ tự nguyện quyết định;

c) Không bị mất năng lực hành vi dân sự;

d) Việc kết hôn không thuộc một trong các trường hợp cấm kết hôn theo quy định tại các điểm a, b, c và d khoản 2 Điều 5 của Luật này.

2. Nhà nước không thừa nhận hôn nhân giữa những người cùng giới tính.

Và các trường hợp bị cấm kết hôn tại các điểm a, b, c và d khoản 2 Điều 5 Luật Hôn nhân và gia đình 2014 . Bao gồm:

2. Cấm các hành vi sau đây:

a) Kết hôn giả tạo, ly hôn giả tạo;

b) Tảo hôn, cưỡng ép kết hôn, lừa dối kết hôn, cản trở kết hôn;

c) Người đang có vợ, có chồng mà kết hôn hoặc chung sống như vợ chồng với người khác hoặc chưa có vợ, chưa có chồng mà kết hôn hoặc chung sống như vợ chồng với người đang có chồng, có vợ;

d) Kết hôn hoặc chung sống như vợ chồng giữa những người cùng dòng máu về trực hệ; giữa những người có họ trong phạm vi ba đời; giữa cha, mẹ nuôi với con nuôi; giữa người đã từng là cha, mẹ nuôi với con nuôi, cha chồng với con dâu, mẹ vợ với con rể, cha dượng với con riêng của vợ, mẹ kế với con riêng của chồng;

Như vậy, nếu cả 2 bạn đáp ứng các điều kiện trên và không thuộc một trong các trường hợp cấm kết hôn thì dù bạn trai bạn đang chấp hành án treo thì vẫn được kết hôn bạn nhé."
